ggis_rowid,ggis_country_status,ggis_global_slug_coverage,ggis_peer_deviation,ggis_lag_affected
125,strong,0.5974025974025974,0.1313311688311688,false
126,strong,0.6396103896103896,0.14610389610389612,false
127,strong,0.6688311688311688,0.14373126873126862,false
128,strong,0.6737012987012987,0.13961038961038963,false
129,strong,0.7256493506493507,0.14448051948051954,false
130,strong,0.7337662337662337,0.13673826173826176,false
131,strong,0.7094155844155844,0.12812187812187814,false
132,strong,0.7662337662337663,0.13274225774225779,false
133,strong,0.7175324675324676,0.12899600399600408,false
134,strong,0.7987012987012987,0.142107892107892,false
135,strong,0.7451298701298701,0.13086913086913077,false
136,strong,0.7873376623376623,0.13661338661338662,false
137,strong,0.814935064935065,0.13236763236763227,false
138,strong,0.7905844155844156,0.13261738261738276,false
139,strong,0.801948051948052,0.13199300699300698,false
140,strong,0.8003246753246753,0.09659090909090884,false
141,strong,0.8068181818181818,0.09369202226345075,false
142,strong,0.8262987012987013,0.0923005565862709,false
143,strong,0.8051948051948052,0.0913729128014843,false
144,strong,0.810064935064935,0.09206864564007433,false
145,strong,0.797077922077922,0.08847402597402587,false
146,strong,0.8327922077922078,0.09995361781076073,false
147,strong,0.775974025974026,0.07942949907235641,false
148,strong,0.8003246753246753,0.09021335807050102,false
149,strong,0.775974025974026,0.08661873840445278,false
150,strong,0.724025974025974,0.08116883116883111,false
151,strong,0.724025974025974,0.08325602968460122,false
152,strong,0.6753246753246753,0.06899350649350666,false
153,strong,0.711038961038961,0.07397959183673475,false
154,strong,0.6201298701298701,0.06307977736549164,false
155,strong,0.6542207792207793,0.06331168831168843,true
156,strong,0.4935064935064935,0.05473098330241183,true
157,strong,0.3555194805194805,0.03791743970315398,true
158,strong,0.0,0.0,true
159,nascent,0.3409090909090909,0.01028138528138528,false
160,nascent,0.3522727272727273,0.019480519480519487,false
161,nascent,0.3133116883116883,-0.010822510822510789,false
162,nascent,0.32792207792207795,-0.011093073593073599,false
163,nascent,0.32954545454545453,-0.012445887445887482,false
164,reporting,0.3555194805194805,-0.013257575757575746,false
165,reporting,0.33116883116883117,-0.011363636363636354,false
166,strong,0.41883116883116883,0.004058441558441539,false
167,reporting,0.4107142857142857,-0.006764069264069306,false
168,reporting,0.4107142857142857,-0.01839826839826847,false
169,reporting,0.4107142857142857,-0.02083333333333337,false
